city,state,latitude,longitude,population
Savannah,GA,32.0286,-81.1821,284429
Stamford,CT,41.1039,-73.5585,130057
Palm Coast,FL,29.5389,-81.2457,386415
Hialeah,FL,25.8696,-80.3045,233876
Aurora,IL,41.7638,-88.2902,199326
Albany,NY,42.6664,-73.7987,590823
Kennewick,WA,46.1978,-119.1732,240876
San Mateo,CA,37.5522,-122.3121,103619
Milwaukee,WI,43.0642,-87.9675,1390046
Norfolk,VA,36.8945,-76.259,244300
Elgin,IL,42.0383,-88.324,112062
El Cajon,CA,32.8017,-116.9604,103249
Gulfport,MS,30.4274,-89.0704,230156
Greenville,SC,34.8354,-82.3646,441303
Metairie,LA,29.9977,-90.178,138511
Logan,UT,41.7399,-111.8422,106319
Tampa,FL,27.9945,-82.4447,2771700
Paterson,NJ,40.9147,-74.1624,145484
Joliet,IL,41.5188,-88.1499,147323
Wilmington,NC,34.2099,-77.8866,260170
Stockton,CA,37.9765,-121.3109,394919
Navarre,FL,30.4174,-86.8907,223951
Temecula,CA,33.4928,-117.1315,113117
Columbia,MO,38.9472,-92.3268,132806
Muskegon,MI,43.2281,-86.2562,164136
York,PA,39.9651,-76.7315,236818
Fayetteville,NC,35.085,-78.9772,333366
Newark,NJ,40.7245,-74.1725,281917
Chesapeake,VA,36.6778,-76.3023,242647
Lakeland,FL,28.0557,-81.9545,300268
Rock Hill,SC,34.9415,-81.0241,116746
Nashville,TN,36.1715,-86.7842,1081876
Thousand Oaks,CA,34.1914,-118.8756,212806
Baton Rouge,LA,30.442,-91.1311,605449
Gilbert,AZ,33.31,-111.7463,248349
Kansas City,MO,39.1238,-94.5541,1602005
Ontario,CA,34.0393,-117.6064,178194
Bloomington,IN,39.1637,-86.5257,116615
Lincoln,NE,40.8099,-96.6784,280780
Charleston,SC,32.8168,-79.9687,645413
Round Lake Beach,IL,42.3791,-88.0811,287012
Brownsville,TX,25.9975,-97.458,229387
Bel Air South,MD,39.5022,-76.3113,222834
Hartford,CT,41.7661,-72.6834,918434
Provo,UT,40.2457,-111.6457,563884
Lorain,OH,41.4409,-82.184,182015
Roseville,CA,38.7703,-121.3196,138860
Amarillo,TX,35.1984,-101.8316,202902
Eau Claire,WI,44.8197,-91.4948,103197
Ogden,UT,41.2279,-111.9682,615015
Santa Clarita,CA,34.4175,-118.4964,260999
Gresham,OR,45.5021,-122.4413,110456
Fresno,CA,36.783,-119.7939,702486
Santa Clara,CA,37.3646,-121.968,126723
McAllen,TX,26.2252,-98.2467,805270
San Francisco,CA,37.7558,-122.4449,3557982
Lexington,KY,38.0423,-84.4587,316743
Lafayette,IN,40.3991,-86.8593,168164
Trenton,NJ,40.2237,-74.7641,291085
Salisbury,MD,38.3756,-75.5865,108982
Monroe,LA,32.5185,-92.0774,117197
Inglewood,CA,33.9566,-118.3444,109309
Davenport,IA,41.5565,-90.6053,281895
Peoria,IL,40.752,-89.6154,253461
Simi Valley,CA,34.2663,-118.749,126782
Allen,TX,33.1088,-96.6735,104040
Newport News,VA,37.1051,-76.5185,179582
Frederick,MD,39.4337,-77.4141,158866
Sioux Falls,SD,43.5396,-96.7311,173921
Orange,CA,33.8038,-117.8218,139322
Sacramento,CA,38.5677,-121.4685,1882358
Sparks,NV,39.5736,-119.7161,102895
North Charleston,SC,32.9067,-80.0722,113880
Pasadena,TX,29.6575,-95.1498,152537
Paradise,NV,36.0872,-115.1355,193150
Billings,MT,45.7891,-108.5526,116593
Tempe,AZ,33.3881,-111.9319,191607
Antioch,CA,37.9787,-121.796,313532
St. George,UT,37.0758,-113.5752,114612
New Haven,CT,41.3113,-72.9246,566683
Carolina,PR,18.4054,-65.9792,134207
Glendale,AZ,33.5791,-112.2311,250290
Sunrise Manor,NV,36.1783,-115.0487,198187
Harrisburg,PA,40.2752,-76.8843,472261
Temple,TX,31.1068,-97.3891,106332
West Palm Beach,FL,26.7469,-80.132,111006
Bakersfield,CA,35.3529,-119.0359,556892
Jacksonville,FL,30.3322,-81.6749,1165107
Duluth,MN,46.7756,-92.1393,117934
Columbia,SC,34.0378,-80.9036,609689
Broken Arrow,OK,36.038,-95.7806,108875
Downey,CA,33.9379,-118.1311,111263
Fairfield,CA,38.2583,-122.0335,142042
Binghamton,NY,42.1014,-75.9093,146870
Manchester,NH,42.9848,-71.4447,163488
Norman,OK,35.2335,-97.3471,112576
Mission Viejo,CA,33.6096,-117.6551,600802
League City,TX,29.4874,-95.1087,105410
Richmond,CA,37.9477,-122.3389,110051
Vero Beach South,FL,27.6132,-80.4163,174748
Ocala,FL,29.178,-82.1511,174618
St. Cloud,MN,45.534,-94.1718,118139
Grand Junction,CO,39.0877,-108.5673,134074
Palm Bay,FL,27.9631,-80.6593,496640
Mandeville,LA,30.3751,-90.0904,105097
Moreno Valley,CA,33.9244,-117.2045,208751
College Station,TX,30.5852,-96.2959,203848
Tulsa,OK,36.1283,-95.9042,698349
Yuba City,CA,39.1357,-121.6383,124815
Dallas,TX,32.7935,-96.7667,5910669
Danbury,CT,41.4015,-73.4709,173508
Holland,MI,42.7677,-86.0984,100202
The Villages,FL,28.9034,-81.9887,119296
St. Louis,MO,38.6359,-90.2451,2144317
Santa Rosa,CA,38.4458,-122.7067,313875
Miramar,FL,25.9773,-80.3351,140479
Mobile,AL,30.6782,-88.1162,328610
Lancaster,CA,34.6935,-118.1753,353619
Gastonia,NC,35.2494,-81.1854,184902
Reno,NV,39.5497,-119.8483,440547
The Woodlands,TX,30.1738,-95.5134,294943
Aguadilla,PR,18.4382,-67.1537,260331
Anaheim,CA,33.839,-117.8574,353085
Richardson,TX,32.9716,-96.7093,118583
Spring Valley,NV,36.0952,-115.2636,218697
Highlands Ranch,CO,39.5419,-104.9708,107017
Yakima,WA,46.5923,-120.5496,126487
Coeur d'Alene,ID,47.704,-116.7936,114880
Albuquerque,NM,35.1054,-106.6465,762853
Scranton,PA,41.4044,-75.6649,380870
Honolulu,HI,21.3294,-157.846,834138
Marysville,WA,48.0809,-122.1561,162700
West Covina,CA,34.0555,-117.9113,105808
Hickory,NC,35.741,-81.3223,211042
Reading,PA,40.34,-75.9267,278693
Virginia Beach,VA,36.7335,-76.0435,1475522
Shreveport,LA,32.4653,-93.7955,291388
Pensacola,FL,30.4413,-87.1911,360711
Oceanside,CA,33.2247,-117.3083,175694
Port Arthur,TX,29.8554,-93.9264,156988
East Los Angeles,CA,34.0326,-118.1691,120504
West Valley City,UT,40.6886,-112.0123,135610
St. Petersburg,FL,27.7931,-82.6652,264001
Greenville,NC,35.5943,-77.376,129374
Saginaw,MI,43.4199,-83.9501,118845
McKinney,TX,33.2016,-96.667,244536
Waterloo,IA,42.4918,-92.3522,115266
Arlington,VA,38.8786,-77.1011,236434
San Jose,CA,37.3012,-121.848,1797166
Burbank,CA,34.1879,-118.3235,103411
Kenosha,WI,42.5865,-87.8773,123865
Leesburg,FL,28.7672,-81.8962,154301
Nashua,NH,42.7491,-71.491,231409
Los Angeles,CA,34.1141,-118.4068,12531334
Renton,WA,47.4784,-122.1918,101871
Garden Grove,CA,33.7787,-117.9601,172800
Birmingham,AL,33.5279,-86.7971,753721
Corona,CA,33.8616,-117.5649,168112
San Diego,CA,32.8313,-117.1222,3178495
New York,NY,40.6943,-73.9249,18680025
Wichita,KS,37.6895,-97.3443,484715
Tacoma,WA,47.2431,-122.4531,215766
Coral Springs,FL,26.2702,-80.2591,133370
Lake Charles,LA,30.201,-93.2111,145029
Providence,RI,41.823,-71.4187,1204385
Daly City,CA,37.6862,-122.4685,107197
Cleveland,OH,41.4764,-81.6805,1742437
Wichita Falls,TX,33.9072,-98.5291,100005
Waco,TX,31.5599,-97.1882,186695
Huntsville,AL,34.6981,-86.6412,317279
Jackson,MS,32.3157,-90.2125,350373
Fort Collins,CO,40.5477,-105.0656,304657
Grand Prairie,TX,32.6871,-97.0208,193835
Chattanooga,TN,35.066,-85.2481,404766
Visalia,CA,36.3276,-119.3269,235184
San Antonio,TX,29.4632,-98.5238,2036324
Richmond,VA,37.5295,-77.4756,1025117
New Orleans,LA,30.0687,-89.9288,957783
Lansing,MI,42.7142,-84.5601,326380
Plano,TX,33.0502,-96.7486,288870
Atlantic City,NJ,39.3797,-74.4527,236314
Macon,GA,32.8065,-83.6974,153026
Madison,WI,43.0822,-89.393,445499
Lakewood,CO,39.6977,-105.1172,155733
Little Rock,AR,34.7256,-92.3577,446814
Memphis,TN,35.1087,-89.9663,1072330
Warner Robins,GA,32.5961,-83.6527,148171
Pittsburgh,PA,40.4397,-79.9763,1719289
Gainesville,FL,29.6804,-82.3459,203541
Queens,NY,40.7498,-73.7976,2405464
Springfield,MO,37.1943,-93.2916,295230
Pasadena,CA,34.1597,-118.139,142017
Pottstown,PA,40.2508,-75.6445,115413
Oxnard,CA,34.1964,-119.1815,378990
Fort Lauderdale,FL,26.1412,-80.1464,181818
Las Cruces,NM,32.3265,-106.7893,129538
Harlingen,TX,26.1916,-97.6977,134306
Waterbury,CT,41.5582,-73.0361,188607
Sugar Land,TX,29.5935,-95.6358,118563
Pueblo,CO,38.2701,-104.6114,142726
Bloomington,IL,40.4757,-88.9703,132710
Abilene,TX,32.4543,-99.7384,110993
Utica,NY,43.0962,-75.2261,112948
Waldorf,MD,38.6085,-76.9194,120707
Boulder,CO,40.0248,-105.2524,122549
Yuma,AZ,32.5995,-114.5491,137612
Pembroke Pines,FL,26.0128,-80.3382,171979
Sarasota,FL,27.3387,-82.5432,727388
Spring Hill,FL,28.4798,-82.53,165526
Mesa,AZ,33.4015,-111.7178,508918
Corpus Christi,TX,27.7254,-97.3767,343031
Laredo,TX,27.5625,-99.4874,262774
Alexandria,VA,38.8185,-77.0861,158309
Gainesville,GA,34.2902,-83.8294,139507
Vista,CA,33.1896,-117.2386,100659
Kent,WA,47.3887,-122.2128,130038
Portland,OR,45.5371,-122.65,2072553
Riverside,CA,33.9381,-117.3949,2112239
